CHILD_ID,NAME,COUNTRY,DOB,Belief,
1,Glenn Fleetwood,Egypt,20/11/2007,0.25555,
2,Stacey Halligan,American Samoa,01/07/2012,0.68895,
3,Neil Hill,Denmark,09/04/2008,0.22328,
4,Alan Mcgarry,British Indian Ocean Territory,18/12/2003,0.5153,
5,Scott Wass,Brunei,24/11/2005,0.41278,
6,Taufiq Nadaf,Sri Lanka,20/07/2001,0.93262,
7,Craig Hamilton,Slovenia,01/12/2007,0.86942,
8,Arun Dhakshinamoorthy,Haiti,20/08/2008,0.01943,
9,Tarush Bhonsle,Lesotho,02/07/2000,0.9543,
10,Jason Doran,Mauritania,21/01/2000,0.88209,
11,Christiane Verbesselt,Mexico,27/02/2009,0.54036,
12,Adam Ferry,Sao Tome and Principe,18/06/2000,0.0561,
13,Shauna Radford,Moldova,01/05/2016,0.90128,
14,Paul Clarke,Bolivia,15/06/2010,0.64913,
15,Mary Cris Bacaron,Bahamas,24/11/2018,0.66586,
16,Sudhakar Kollipakula,Philippines,07/03/2001,0.31989,
17,Swarup Mitra,British Indian Ocean Territory,01/07/2014,0.87352,
18,Glennon Williams,Madagascar,12/05/2001,0.26513,
19,Jonathan Fleming,Greece,08/11/2005,0.10576,
20,Luke Wong,Faroe Islands,28/06/2004,0.17292,
21,Girish Baria,Namibia,19/08/2003,0.6335,
22,Amrit Singh,Israel,04/10/2005,0.80151,
23,Richard Dixon,Nauru,22/05/2013,0.13605,
24,William Williams,Cuba,03/08/2018,0.20334,
25,Sahinsha Akhtar,Spain,13/11/2016,0.50599,
26,Manuel Perez Linan,Libyan Arab Jamahiriya,25/09/2010,0.35938,
27,Claudeen De jesus,Saint Pierre and Miquelon,27/08/2009,0.38313,
28,John Ryan,Jamaica,23/06/2005,0.36538,
29,Manoj Kumar,Burkina Faso,15/06/2018,0.90525,
30,Joel Turner,Senegal,06/04/2019,0.50198,
31,Mohammed Aamir,Liberia,02/07/2016,0.67715,
32,SAN LUNGELI,Madagascar,14/03/2009,0.98668,
33,Paula Easdon,Lithuania,17/11/2001,0.69199,
34,Manisha Misra,Chad,23/03/2010,0.76081,
35,Andre Azzi,Cambodia,01/01/2019,0.84064,
36,Krishna Ramkumar,Laos,02/08/2001,0.0866,
37,Gergely Vecsei,Armenia,10/04/2008,0.6417,
38,Pat Graven,Ireland,27/01/2002,0.92715,
39,Andy Hughes,Virgin Islands,27/04/2000,0.70465,
40,Purnima Lama,Mauritius,20/01/2014,0.88518,
41,Sean Carroll,Djibouti,15/10/2005,0.5882,
42,Gary Shaw,Bangladesh,23/06/2015,0.54155,
43,Glen Robertson,United Kingdom,09/06/2015,0.46385,
44,Salman Mohiuddin,Dominican Republic,12/11/2010,0.75631,
45,Mark Norman,Iraq,02/05/2007,0.15726,
46,Russel Scott,Mongolia,21/05/2018,0.67736,
47,Mohammed Raza,Tunisia,06/09/2014,0.11248,
48,Nithin Reddy,Belgium,09/02/2015,0.03806,
49,Roger Smith,Guinea-Bissau,25/12/2002,0.59752,
50,Christopher Robertson,Poland,28/03/2000,0.80457,
51,Lee Bruce,San Marino,20/01/2002,0.85614,
52,Tim Vernon,United States,20/12/2006,0.04229,
53,Ananya Sen,Chile,21/04/2011,0.99878,
54,Juliana Oliva,Cyprus,25/12/2003,0.05503,
55,David Tartalo,Greenland,23/10/2015,0.98738,
56,Sanjeeb Panda,Azerbaijan,01/04/2003,0.64659,
57,Martin Card,Mongolia,01/07/2001,0.32131,
58,Serena Potter,Comoros,12/07/2018,0.32179,
59,Kelley Kershaw,Micronesia,20/03/2020,0.91027,
60,Damiano Blandino,Central African Republic,21/11/2006,0.1656,
61,Iulia-Andreea Pan,Kazakstan,09/11/2018,0.43905,
62,Kristof Koschewnikoff-Szabo,Kazakstan,02/03/2020,0.64229,
63,Rebecca Strong,Virgin Islands,05/09/2014,0.961,
64,Paul Bones,Svalbard and Jan Mayen,28/12/2007,0.94608,
65,Paul Homer,Dominican Republic,03/06/2016,0.24258,
66,Brian OMalley,Cape Verde,02/09/2011,0.26151,
67,Scott Benison,Angola,27/05/2020,0.44209,
68,Nia Thomas,Eritrea,15/06/2018,0.1851,
69,John Todd,Madagascar,07/06/2019,0.99236,
70,Reenu Mohan,Liberia,30/09/2010,0.68633,
71,Yolanda Dcosta,San Marino,20/04/2016,0.83685,
72,Tejasvi Thakur,Brazil,02/12/2014,0.94124,
73,Jaqueline OConnor-Dixon,Algeria,10/10/2013,0.66645,
74,Oliver Edwards,Austria,18/04/2003,0.15003,
75,Amit Kumar Dey,Bangladesh,12/02/2010,0.08385,
76,Carlton Locke,Cook Islands,24/11/2004,0.19961,
77,Deborah Bradburn,Kyrgyzstan,06/07/2006,0.73714,
78,John Murphy,Cameroon,13/08/2015,0.78501,
79,Emma Sproates,Armenia,26/02/2008,0.71974,
80,Stephen Jones,Marshall Islands,08/08/2020,0.01343,
81,Santhoshkumar Gurumurthy,China,29/09/2020,0.14661,
82,Nayeem Ghafoor,Iraq,18/09/2010,0.41929,
83,Rohit Laha,Burkina Faso,13/04/2008,0.0644,
84,Denis Muturka,Malawi,22/01/2004,0.57328,
85,Tina Pal,Slovakia,15/10/2019,0.74576,
86,Lajar Masekar,Saint Kitts and Nevis,29/11/2008,0.38429,
87,Nicola Oriente,Ireland,01/11/2003,0.86272,
88,Chris Lloyd-Mostyn,Brazil,14/12/2017,0.91632,
89,Maureen Allen,Reunion,28/07/2001,0.53726,
90,Gerald Gillan,Croatia,03/11/2014,0.14177,
91,Muhmad Reeyad Housee,Wallis and Futuna,22/10/2012,0.58717,
92,Vijaykumar Kulkarni,Panama,13/12/2006,0.8678,
93,Daniel Hoare,Guinea-Bissau,28/05/2009,0.23195,
94,Divya Darshini,Gibraltar,08/09/2002,0.20531,
95,Rajeet Singh,Slovenia,03/06/2008,0.10136,
96,Umesh Bhausaheb Jadhav,South Korea,27/09/2016,0.47281,
97,Macharla Venkata Rahul,South Korea,15/07/2016,0.15042,
98,SUSAN BOND,Mali,28/03/2008,0.5139,
99,Jose Caballero Lynch,Thailand,19/06/2014,0.79734,
100,Theo Lockwood,Liberia,10/07/2007,0.29374,
101,Hazmar Fauz,Reunion,22/02/2015,0.8239,
102,Sanjeev Shekhar,Georgia,09/12/2004,0.05651,
103,Cheryl Gadd,Gibraltar,12/02/2005,0.9144,
104,Christopher Forbes,Andorra,02/04/2004,0.93045,
105,Linzi Test User - Stock,Iran,21/11/2015,0.73324,
106,Divya Ambavaram,Madagascar,27/04/2014,0.48727,
107,Matt Davidson,French Polynesia,05/07/2004,0.85282,
108,Gregory Gillet,Sudan,20/09/2001,0.74576,
109,Ankit Gaurav,Haiti,07/06/2013,0.66014,
110,Tony Sweeney,Georgia,02/02/2017,0.07549,
111,Maarten De Wit,Andorra,14/12/2006,0.49373,
112,Trevor Allerton,Tokelau,15/07/2019,0.05113,
113,Brian Ferris,France,22/09/2000,0.22408,
114,Sri Varshini Subramanian,Thailand,16/03/2007,0.94292,
115,Kyrs Lethbridge,Tonga,21/12/2006,0.07344,
116,Luke OLoughlin,Albania,14/09/2015,0.15204,
117,Myles Doyle,Qatar,05/03/2011,0.41129,
118,Gareth Duddell,Montserrat,02/07/2014,0.45702,
119,Stephen White,Colombia,03/09/2003,0.69038,
120,Franco Santambrogio,Finland,31/05/2020,0.81742,
121,Bhavnesh Kaushal,Australia,30/05/2016,0.85399,
122,Surajit Bhattacharjee,Mexico,07/08/2004,0.60521,
123,Pang Keong Sit,Estonia,01/11/2012,0.31016,
124,Elizabeth Hardeman,South Africa,10/02/2012,0.63108,
125,Rachid Bardaa,Haiti,02/04/2006,0.97,
126,Ashish Gupta,Guyana,12/09/2007,0.866,
127,Erik Marell,Guinea-Bissau,27/03/2013,0.45521,
128,Chandler Buckinhgam,Denmark,06/08/2000,0.68723,
129,Teddy Njoroge,Uruguay,09/09/2004,0.91272,
130,Charlotte Thomas,Malta,19/05/2009,0.42341,
131,Stuart Thomson,Grenada,20/09/2016,0.15312,
132,Amisha Gondaliya,East Timor,28/04/2018,0.6424,
133,Oluwafemi Olotu,United States Minor Outlying Islands,07/10/2005,0.15177,
134,Sushma Naganayan,Antarctica,11/04/2003,0.42886,
135,Thomas McNally,Pitcairn,24/12/2014,0.91763,
136,Tamas Rolek,Congo,07/11/2011,0.21868,
137,Sharaniya Venkatesh,Malawi,26/03/2006,0.40962,
138,Matt Frankland,Macao,30/12/2008,0.80084,
139,Paul Godwin,Libyan Arab Jamahiriya,09/11/2014,0.26245,
140,Lochan Surana,Tonga,24/07/2016,0.30483,
141,Rebecca Speedy,Congo,18/11/2013,0.9727,
142,Sunil Sinha,Netherlands,24/02/2009,0.95735,
143,Mark Card,Ethiopia,30/10/2012,0.85528,
144,Monika Mankar,Mali,06/08/2008,0.8735,
145,Sam Burgess,Poland,29/12/2006,0.54956,
146,Venu Pakir,Moldova,19/08/2017,0.48802,
147,Leonard Vitarana,Mauritius,14/06/2008,0.60501,
148,Debbie Starling,Malawi,29/05/2008,0.60563,
149,Nabeela Chopdat,Fiji Islands,04/07/2004,0.71337,
150,Mario Cardoso,Uganda,02/11/2010,0.4652,
151,Sundeep Jairath,Panama,16/08/2007,0.63855,
152,Hannah Darn,Uruguay,26/09/2014,0.65111,
153,Jackie Conlon,Armenia,03/06/2013,0.32516,
154,Sucheta Gupta,Macedonia,17/02/2000,0.76709,
155,Paul Neville,Mongolia,21/08/2011,0.21022,
156,Saikat Sarkar,Burundi,13/08/2002,0.77174,
157,Louise Cook,Bhutan,07/03/2002,0.32064,
158,Kavita Malakar,India,23/08/2020,0.18597,
159,Sundeep Raj Vincent,Virgin Islands,07/01/2009,0.96556,
160,Ed McAdam,Equatorial Guinea,01/06/2004,0.83679,
161,John Lim,Mongolia,09/05/2012,0.50577,
162,Rajesh Vyas,New Zealand,14/06/2016,0.32212,
163,Laura Mozsarik,Bermuda,28/08/2006,0.63751,
164,Rein Salibay,Malaysia,04/02/2017,0.30001,
165,Kate Davies,Antigua and Barbuda,21/08/2000,0.17651,
166,Felipe Parra Munoz,Gambia,23/02/2001,0.74419,
167,Aida Silva,Senegal,02/11/2004,0.99953,
168,David Parker,Guatemala,20/07/2020,0.67605,
169,Pauline Fern,Mongolia,23/06/2000,0.48537,
170,Michael Trevor,Heard Island and McDonald Islands,02/02/2002,0.42518,
171,John Prin,Samoa,09/05/2000,0.30487,
172,Kavish Mittal,Norfolk Island,25/09/2004,0.35147,
173,Helen Clegg,Panama,26/11/2018,0.53707,
174,Sean Gale,Bahrain,12/08/2017,0.01652,
175,Tanvir Jamal,Nigeria,10/10/2000,0.15013,
176,James Davies Davies,Togo,02/11/2020,0.03144,
177,Sarah Jane,Turks and Caicos Islands,29/03/2016,0.97174,
178,Pratik Sharma,Taiwan,21/11/2004,0.07831,
179,Kirti Shirudkar,Belarus,15/09/2001,0.56197,
180,Sunil Pagade,Montserrat,11/07/2013,0.90906,
181,Nick Taylor,United States Minor Outlying Islands,06/11/2003,0.99253,
182,Luke Atkins,Bermuda,23/01/2017,0.1055,
183,Alan Hodgkinson,Luxembourg,12/07/2020,0.50281,
184,Daniel Gillett,Uganda,21/04/2010,0.093,
185,Paul Cooke,Honduras,19/06/2009,0.1386,
186,Vikas Luthra,Mauritius,13/01/2009,0.95212,
187,Michael Dean,Nigeria,12/07/2002,0.11494,
188,Kris Stobbs,French Southern territories,12/09/2010,0.02442,
189,Stevie Smith,Chad,13/09/2006,0.26507,
190,Ian Ritchie,French Guiana,20/12/2008,0.26246,
191,Yasmin Sharif,Turks and Caicos Islands,04/03/2017,0.73526,
192,Shiom Perera,Slovakia,02/01/2004,0.91262,
193,Abhinay Nataraj,Bosnia and Herzegovina,22/12/2005,0.03079,
194,Jerry Hutton,Zimbabwe,25/08/2006,0.36107,
195,Rebecca Doneghan,Slovakia,30/04/2019,0.62879,
196,Mohamed Faleel,Liechtenstein,20/05/2017,0.5353,
197,Jarret Jollivet,Trinidad and Tobago,05/12/2012,0.51575,
198,Priyanka Gaikwad,Mongolia,11/08/2004,0.4026,
199,Ralph Geiger,Senegal,11/01/2014,0.48607,
200,Kirst Monaghan,Trinidad and Tobago,07/10/2013,0.99895,
201,Ravindra Ghabak,Croatia,25/10/2018,0.25265,
202,Andreas Herrmann,Canada,01/07/2002,0.30091,
203,Bhumika Mishra,Belarus,27/07/2005,0.27801,
204,Hassan Daar,Yugoslavia,07/12/2019,0.70517,
205,Kaveesh Jagota,Malta,25/06/2019,0.88692,
206,Rosemary K,Virgin Islands,21/03/2004,0.5275,
207,Francis Biddles,Bhutan,19/07/2015,0.0039,
208,Adam Arnold,Bahamas,09/03/2004,0.18713,
209,Dave Parkinson,Mongolia,23/12/2003,0.84317,
210,Dimitrios Chalvatzis,Gabon,12/08/2020,0.89865,
211,Lakshmi Allamsetti,Tokelau,13/08/2015,0.75202,
212,NIKKI GEARY,Philippines,01/07/2009,0.4852,
213,Poornima Nagesh,Belgium,25/09/2008,0.51369,
214,Kyle Downes,Guyana,28/07/2010,0.26957,
